Feature Index Set,feature_idx,cv_scores,avg_score,feature_names,ci_bound,std_dev,std_err
37,"(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 26, 27, 28, 35, 38, 39, 42, 44, 48, 49, 50, 51, 52, 53, 54, 56, 57, 58, 59, 60, 61, 62, 63, 64, 66)",[0.9        0.87336245 0.82532751 0.86899563 0.82969432],0.8594759825327511,"('0', '1', '2', '3', '4', '5', '6', '7', '8', '9', '10', '11', '26', '27', '28', '35', '38', '39', '42', '44', '48', '49', '50', '51', '52', '53', '54', '56', '57', '58', '59', '60', '61', '62', '63', '64', '66')",0.03625668281781234,0.028208931001675326,0.014104465500837661
38,"(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 26, 27, 28, 35, 38, 39, 42, 44, 48, 49, 50, 51, 52, 53, 54, 56, 57, 58, 59, 60, 61, 62, 63, 64, 66, 67)",[0.9        0.87336245 0.82532751 0.86899563 0.82969432],0.8594759825327511,"('0', '1', '2', '3', '4', '5', '6', '7', '8', '9', '10', '11', '26', '27', '28', '35', '38', '39', '42', '44', '48', '49', '50', '51', '52', '53', '54', '56', '57', '58', '59', '60', '61', '62', '63', '64', '66', '67')",0.03625668281781234,0.028208931001675326,0.014104465500837661
40,"(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 15, 17, 26, 27, 28, 35, 38, 39, 42, 44, 48, 49, 50, 51, 52, 53, 54, 56, 57, 58, 59, 60, 61, 62, 63, 64, 66, 67)",[0.9        0.87336245 0.82969432 0.86462882 0.82969432],0.8594759825327511,"('0', '1', '2', '3', '4', '5', '6', '7', '8', '9', '10', '11', '15', '17', '26', '27', '28', '35', '38', '39', '42', '44', '48', '49', '50', '51', '52', '53', '54', '56', '57', '58', '59', '60', '61', '62', '63', '64', '66', '67')",0.03465748796012075,0.026964703072012288,0.013482351536006142
27,"(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 26, 27, 28, 35, 38, 39, 42, 48, 49, 50, 51, 52, 59, 60, 66)",[0.9        0.87336245 0.82532751 0.86899563 0.82969432],0.8594759825327511,"('0', '1', '2', '3', '4', '5', '6', '7', '8', '9', '10', '11', '26', '27', '28', '35', '38', '39', '42', '48', '49', '50', '51', '52', '59', '60', '66')",0.03625668281781234,0.028208931001675326,0.014104465500837661
56,"(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 15, 16, 17, 18, 19, 20, 22, 23, 25, 26, 27, 28, 31, 32, 33, 35, 38, 39, 40, 42, 43, 44, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67)",[0.9        0.86462882 0.8209607  0.87336245 0.83842795],0.8594759825327511,"('0', '1', '2', '3', '4', '5', '6', '7', '8', '9', '10', '11', '12', '13', '15', '16', '17', '18', '19', '20', '22', '23', '25', '26', '27', '28', '31', '32', '33', '35', '38', '39', '40', '42', '43', '44', '48', '49', '50', '51', '52', '53', '54', '55', '56', '57', '58', '59', '60', '61', '62', '63', '64', '65', '66', '67')",0.03537716707824002,0.027524637875987218,0.013762318937993607
28,"(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 26, 27, 28, 35, 38, 39, 42, 44, 48, 49, 50, 51, 52, 59, 60, 66)",[0.9        0.87336245 0.82532751 0.86899563 0.82969432],0.8594759825327511,"('0', '1', '2', '3', '4', '5', '6', '7', '8', '9', '10', '11', '26', '27', '28', '35', '38', '39', '42', '44', '48', '49', '50', '51', '52', '59', '60', '66')",0.03625668281781234,0.028208931001675326,0.014104465500837661
32,"(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 26, 27, 28, 35, 38, 39, 42, 44, 48, 49, 50, 51, 52, 53, 54, 56, 58, 59, 60, 66)",[0.9        0.87336245 0.82532751 0.86899563 0.82969432],0.8594759825327511,"('0', '1', '2', '3', '4', '5', '6', '7', '8', '9', '10', '11', '26', '27', '28', '35', '38', '39', '42', '44', '48', '49', '50', '51', '52', '53', '54', '56', '58', '59', '60', '66')",0.03625668281781234,0.028208931001675326,0.014104465500837661
41,"(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 15, 17, 26, 27, 28, 35, 38, 39, 42, 43, 44, 48, 49, 50, 51, 52, 53, 54, 56, 57, 58, 59, 60, 61, 62, 63, 64, 66, 67)",[0.89130435 0.87336245 0.82532751 0.87336245 0.82969432],0.8586102145433834,"('0', '1', '2', '3', '4', '5', '6', '7', '8', '9', '10', '11', '15', '17', '26', '27', '28', '35', '38', '39', '42', '43', '44', '48', '49', '50', '51', '52', '53', '54', '56', '57', '58', '59', '60', '61', '62', '63', '64', '66', '67')",0.03375219037156463,0.026260350791913002,0.013130175395956501
44,"(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 13, 15, 17, 22, 26, 27, 28, 32, 35, 38, 39, 42, 43, 44, 48, 49, 50, 51, 52, 53, 54, 56, 57, 58, 59, 60, 61, 62, 63, 64, 66, 67)",[0.89565217 0.86462882 0.82969432 0.87336245 0.82969432],0.8586064173153598,"('0', '1', '2', '3', '4', '5', '6', '7', '8', '9', '10', '11', '13', '15', '17', '22', '26', '27', '28', '32', '35', '38', '39', '42', '43', '44', '48', '49', '50', '51', '52', '53', '54', '56', '57', '58', '59', '60', '61', '62', '63', '64', '66', '67')",0.0330107958624452,0.025683520675990314,0.012841760337995157
39,"(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 17, 26, 27, 28, 35, 38, 39, 42, 44, 48, 49, 50, 51, 52, 53, 54, 56, 57, 58, 59, 60, 61, 62, 63, 64, 66, 67)",[0.89565217 0.87336245 0.82532751 0.86899563 0.82969432],0.8586064173153598,"('0', '1', '2', '3', '4', '5', '6', '7', '8', '9', '10', '11', '17', '26', '27', '28', '35', '38', '39', '42', '44', '48', '49', '50', '51', '52', '53', '54', '56', '57', '58', '59', '60', '61', '62', '63', '64', '66', '67')",0.03468599459028907,0.026986882198755602,0.013493441099377801
